"FIPS","Year","Age Range","Pop","MOE"
"09",2010,"0 to 9 years",430931,2312.63399611785
"09",2010,"10 to 14 years",242245,2281.40044709385
"09",2010,"15 to 17 years",154347,277.243575218615
"09",2010,"Total",827523,3260.35703566343
"0900104720",2010,"0 to 9 years",2444,320.533929561287
"0900104720",2010,"10 to 14 years",1104,202.548759561741
"0900104720",2010,"15 to 17 years",790,168.928979159882
"0900104720",2010,"Total",4338,415.096374351788
"0900108070",2010,"0 to 9 years",20337,924.935132860678
"0900108070",2010,"10 to 14 years",10327,631.981012372998
"0900108070",2010,"15 to 17 years",6458,453.454518116205
"0900108070",2010,"Total",37122,1208.52223810735
"0900108980",2010,"0 to 9 years",1831,247.584329067896
"0900108980",2010,"10 to 14 years",1216,203.690942361215
"0900108980",2010,"15 to 17 years",980,192.002604149006
"0900108980",2010,"Total",4027,373.701752738731
"0900118500",2010,"0 to 9 years",10442,695.527857098477
"0900118500",2010,"10 to 14 years",4195,448.448436277796
"0900118500",2010,"15 to 17 years",2814,402.616442783948
"0900118500",2010,"Total",17451,920.30701399044
"0900118850",2010,"0 to 9 years",3820,344.914482154635
"0900118850",2010,"10 to 14 years",2263,251.143385339929
"0900118850",2010,"15 to 17 years",1365,197.952014387326
"0900118850",2010,"Total",7448,470.344554555487
"0900123890",2010,"0 to 9 years",1081,189.618037116726
"0900123890",2010,"10 to 14 years",711,151.81897114656
"0900123890",2010,"15 to 17 years",435,121.630588258053
"0900123890",2010,"Total",2227,271.657873068314
"0900126620",2010,"0 to 9 years",7974,538.358616537341
"0900126620",2010,"10 to 14 years",4325,403.714007683657
"0900126620",2010,"15 to 17 years",2364,266.204808371299
"0900126620",2010,"Total",14663,723.657377492968
"0900133620",2010,"0 to 9 years",8485,567.707671253437
"0900133620",2010,"10 to 14 years",5174,382.478757580078
"0900133620",2010,"15 to 17 years",3011,337.164648206184
"0900133620",2010,"Total",16670,763.060941209809
"0900148620",2010,"0 to 9 years",2555,315.559820002484
"0900148620",2010,"10 to 14 years",1666,241.132743525221
"0900148620",2010,"15 to 17 years",969,189.488785947876
"0900148620",2010,"Total",5190,440.032953311454
"0900150580",2010,"0 to 9 years",3049,345.482271614623
"0900150580",2010,"10 to 14 years",2047,295.465734053883
"0900150580",2010,"15 to 17 years",1332,228.127157524044
"0900150580",2010,"Total",6428,508.625599041181
